Tallformatet viser til kolonnenummer:
0=PowerA, 1=PowerB, 
2=e, 3=TVa, 4=TVb, 5=IAE, 6=MAE, 7=u, 8=o, 
18.828125,17.890625,2,50.2734375,53.3203125,6.57497882843,1,25,27.0
17.94921875,17.01171875,3,50.8203125,53.8671875,6.77510499954,1,25,27.2876416096
15.9375,14.53125,2,51.69921875,54.74609375,7.1786801815,1,25,27.2032195064
14.1796875,12.7734375,2,53.7109375,57.2265625,7.36963820457,1,25,27.1216166471
14.453125,10.546875,1,55.46875,58.984375,7.56794428825,1,25,26.921454379
13.90625,11.09375,0,55.7421875,61.2109375,7.67279314995,1,25,26.8460452381
14.84375,10.15625,1,56.2890625,61.7578125,7.67279314995,1,25,26.6535979882
14.6875,11.875,1,57.2265625,62.6953125,7.76316714287,1,25,26.4652309777
12.421875,12.578125,1,57.3828125,64.4140625,7.86206412315,1,25,26.2808020341
15.15625,15.3125,1,59.6484375,65.1171875,7.9614610672,1,25,26.1001758247
22.1875,22.34375,1,62.3828125,67.8515625,8.07182312012,1,25,25.9232234399
18.8671875,19.0234375,1,69.4140625,74.8828125,8.16824316978,1,25,25.7498220059
17.109375,17.265625,2,72.734375,78.203125,8.27347302437,1,25,25.6945621935
17.59765625,17.75390625,2,74.4921875,79.9609375,8.48084521294,1,25,25.6411297034
17.94921875,17.01171875,1,74.98046875,80.44921875,8.7216231823,1,25,25.4762332683
19.12109375,15.83984375,1,75.33203125,81.19140625,8.83178114891,1,25,25.3144777708
18.33984375,16.62109375,2,76.50390625,82.36328125,8.94093108177,1,25,25.2675681457
19.19921875,15.76171875,4,77.28515625,83.14453125,9.18360114098,1,25,26.1111111111
17.94921875,17.01171875,5,78.14453125,84.00390625,9.63402533531,1,25,27.7183130448
16.4453125,16.3671875,6,79.39453125,85.25390625,10.223590374,1,25,30.2949357572
16.4453125,16.3671875,7,80.8984375,85.8984375,10.9140467644,1,25,34.0419908768
13.5546875,19.2578125,8,80.8984375,85.8984375,11.7568531036,1,25,39.1559476363
8.359375,20.546875,9,83.7890625,88.7890625,12.6214294434,1,25,45.8289286115
5.3515625,20.0390625,10,88.984375,90.078125,13.7067220211,1,25,54.2488942628
6.4453125,21.2890625,10,91.9921875,90.5859375,15.0541017056,1,25,62.5744102504
11.875,22.5,9,93.0859375,91.8359375,16.2458202839,1,24,76.9558460885
19.9609375,23.3984375,9,98.515625,93.046875,17.2294313908,1,24,81.6921728877
23.984375,28.359375,8,106.6015625,93.9453125,18.3330917358,1,24,85.0159002581
18.828125,25.703125,9,110.625,98.90625,19.273771286,2,24,89.6611980445
20.44921875,20.76171875,10,115.78125,101.5625,20.2525844574,2,24,95.8143365931
20.3125,16.40625,10,117.40234375,106.50390625,21.5715041161,2,24,101.90441913
18.7109375,18.3984375,10,117.5390625,110.859375,22.6946845055,2,24,107.932922639
19.4140625,15.3515625,10,119.140625,112.8515625,23.8504447937,2,24,113.901273039
18.203125,16.5625,11,119.84375,115.8984375,25.0966348648,2,24,121.536935966
19.4140625,15.3515625,11,121.0546875,117.109375,26.7617604733,2,24,129.097495194
20.0390625,14.7265625,11,122.265625,118.3203125,27.9864878654,2,24,136.584639094
18.75,11.71875,10,122.890625,118.9453125,29.4168510437,2,23,151.3
16.25,10.3125,9,124.1796875,121.953125,30.7221212387,2,23,154.131260764
17.3828125,9.5703125,8,126.6796875,123.359375,31.8656177521,2,23,155.849223265
16.8359375,8.5546875,7,127.8125,124.1015625,32.7703933716,2,23,156.667355228
18.6328125,5.1953125,6,128.359375,125.1171875,33.6769762039,2,23,156.794850043
19.21875,5.78125,5,130.15625,128.4765625,34.4170713425,2,23,156.436781694
20.46875,4.53125,4,130.7421875,129.0625,35.0057208538,2,23,155.794252322
20.46875,4.53125,4,131.9921875,130.3125,35.4415729046,2,23,155.161206492
20.46875,4.53125,2,131.9921875,130.3125,36.0533444881,2,23,154.537422053
20.4296875,4.5703125,3,131.9921875,130.3125,36.302000761,2,23,153.826901407
21.875,10.9375,3,132.03125,130.3515625,36.6105957031,2,23,153.126091833
23.59375,10.78125,3,133.4765625,136.71875,37.0319993496,2,23,152.434774118
24.765625,11.953125,3,135.1953125,136.875,37.4136476517,2,23,151.752735913
24.6484375,12.4609375,1,136.3671875,138.046875,37.8013169765,2,23,151.45605981
29.19921875,9.66796875,-2,136.484375,138.5546875,37.9453308582,2,23,153.131780194
23.59375,1.40625,-4,141.03515625,141.34765625,38.2248671055,2,23,157.033809708
25.703125,4.765625,-7,146.640625,149.609375,38.7517311573,2,23,165.640241654
25.703125,4.765625,-8,148.75,152.96875,39.6755206585,3,23,176.117312302
25.13671875,3.57421875,-8,148.75,152.96875,40.5564563274,3,24,175.277407248
24.5703125,4.3359375,-7,149.31640625,154.16015625,41.4585998058,3,24,181.96465166
23.984375,4.921875,-7,149.8828125,154.921875,42.4748680592,3,24,188.599133968
26.77734375,8.96484375,-7,150.46875,155.5078125,43.3236658573,3,24,195.181818182
27.55859375,9.74609375,-7,153.26171875,159.55078125,44.3373856544,3,24,201.713642183
27.55859375,9.74609375,-6,154.04296875,160.33203125,45.2268469334,3,24,206.662680266
29.21875,11.40625,-7,154.04296875,160.33203125,46.031842947,3,24,213.101690855
29.6875,9.375,-7,155.703125,161.9921875,47.0077130795,3,24,219.492432671
23.3984375,1.9921875,-9,156.171875,164.0234375,47.9725716114,3,24,229.399232641
23.203125,1.796875,-12,162.4609375,171.40625,49.1848721504,3,24,245.886488759
20.390625,-1.640625,-11,162.65625,171.6015625,50.7300534248,3,24,259.861742086
16.640625,-8.046875,-11,165.46875,175.0390625,52.3153076172,3,24,273.732186777
23.359375,-0.703125,-10,169.21875,181.4453125,54.4278023243,3,24,285.306973681
25.859375,3.046875,-9,175.9375,188.7890625,55.7846210003,3,25,282.119039896
26.640625,3.828125,-8,178.4375,192.5390625,57.104624033,3,25,288.098520607
26.8359375,4.0234375,-8,179.21875,193.3203125,58.1292173862,3,25,294.036990666
24.1015625,1.2890625,-6,179.4140625,193.515625,59.4207441807,3,25,297.1707384
24.1015625,1.2890625,-6,182.1484375,196.25,60.3110129833,3,25,300.285308776
24.1015625,1.2890625,-5,182.1484375,196.25,61.1637923717,3,25,302.266256314
24.1015625,1.2890625,-5,182.1484375,196.25,61.8540070057,3,25,304.236761913
24.1015625,1.2890625,-4,182.1484375,196.25,62.5549278259,3,25,305.26059193
