Tallformatet viser til kolonnenummer:
0=PowerA, 1=PowerB, 
2=e, 3=TVa, 4=TVb, 5=IAE, 6=MAE, 7=u, 8=o, 
0.0,0.0,0,0,0,0,0,0,0
35.60546875,43.10546875,0,0,0,0.0,0.0,8.0,0.0
26.71875,34.21875,0,35.60546875,43.10546875,0.0,0.0,8.0,0.0
7.1875,11.5625,0,44.4921875,51.9921875,0.0,0.0,8.0,0.0
1.50390625,1.81640625,1,64.0234375,74.6484375,0.0,0.2,7.8,0.39999999999999997
9.6484375,11.4453125,1,69.70703125,84.39453125,0.14363002777099604,0.3333333333333333,7.666666666666667,0.4714045207910317
18.84765625,21.58203125,1,77.8515625,94.0234375,0.2732191085815429,0.42857142857142855,7.571428571428571,0.4948716593053935
23.7890625,27.3828125,0,87.05078125,104.16015625,0.38542008399963373,0.375,7.625,0.4841229182759271
24.84375,29.84375,0,91.9921875,109.9609375,0.38542008399963373,0.3333333333333333,7.666666666666667,0.4714045207910317
30.234375,24.453125,-1,93.046875,112.421875,0.38542008399963373,0.4,7.8,0.6
24.84375,20.078125,0,98.4375,117.8125,0.5043179988861086,0.36363636363636365,7.818181818181818,0.5749595745760689
28.75,19.6875,-1,103.828125,122.1875,0.5043179988861086,0.4166666666666667,7.916666666666667,0.6400954789890506
29.78515625,17.28515625,-1,107.734375,122.578125,0.6169438362121586,0.46153846153846156,8.0,0.6793662204867574
22.734375,16.328125,-2,108.76953125,124.98046875,0.7170939445495605,0.5714285714285714,8.142857142857142,0.8329931278350429
15.46875,15.0,-2,115.8203125,125.9375,0.9153876304626465,0.6666666666666666,8.266666666666667,0.9285592184789413
14.375,14.53125,-2,123.0859375,127.265625,1.1077580451965345,0.75,8.375,0.9921567416492215
16.1328125,16.2890625,-2,124.1796875,127.734375,1.3069958686828627,0.8235294117647058,8.470588235294118,1.0356951095093534
23.359375,23.515625,-2,125.9375,129.4921875,1.5172638893127446,0.8888888888888888,8.555555555555555,1.065740338513938
24.140625,24.296875,-1,133.1640625,136.71875,1.7419657707214364,0.8947368421052632,8.578947368421053,1.0420520985907016
24.140625,24.296875,0,133.9453125,137.5,1.8466837406158456,0.85,8.55,1.023474474522936
24.3359375,24.4921875,1,133.9453125,137.5,1.8466837406158456,0.8571428571428571,8.476190476190476,1.0519391444940247
24.3359375,24.4921875,1,134.140625,137.6953125,1.9204728603363046,0.8636363636363636,8.409090909090908,1.072765792836904
23.33984375,25.68359375,2,134.140625,137.6953125,2.0526258945465097,0.9130434782608695,8.304347826086957,1.1585141386499327
18.28125,25.859375,3,135.13671875,138.88671875,2.2809798717498797,1.0,8.166666666666666,1.3123346456686353
13.33984375,23.96484375,3,140.1953125,139.0625,2.5801484584808354,1.08,8.04,1.4277254638059798
13.2421875,23.8671875,4,145.13671875,140.95703125,2.9351806640625018,1.1923076923076923,7.884615384615385,1.6011275612691267
13.2421875,23.8671875,4,145.234375,141.0546875,3.3453006744384766,1.2962962962962963,7.7407407407407405,1.7340296164029074
11.2890625,21.9140625,4,145.234375,141.0546875,3.745680809020998,1.3928571428571428,7.607142857142857,1.838852237408
6.71875,15.9375,4,147.1875,143.0078125,4.121804237365721,1.4827586206896552,7.482758620689655,1.9230128956687842
6.40625,12.34375,4,151.7578125,148.984375,4.485508918762205,1.5666666666666667,7.366666666666666,1.9913702708325127
7.1875,11.5625,4,152.0703125,152.578125,4.910788536071777,1.6451612903225807,7.258064516129032,2.0473073100157975
9.04296875,10.29296875,4,152.8515625,153.359375,5.295140266418457,1.71875,7.15625,2.093283530126772
9.51171875,9.82421875,4,154.70703125,154.62890625,5.6738691329956055,1.7878787878787878,7.0606060606060606,2.1311455724263326
10.29296875,10.60546875,4,155.17578125,155.09765625,6.087436676025389,1.8529411764705883,6.970588235294118,2.162314855966212
11.8359375,11.9921875,4,155.95703125,155.87890625,6.470745086669922,1.9142857142857144,6.885714285714286,2.187907396465903
14.375,14.53125,4,157.5,157.265625,6.877568244934082,1.9722222222222223,6.805555555555555,2.208813714347898
16.640625,16.171875,4,160.0390625,159.8046875,7.265320777893065,2.027027027027027,6.72972972972973,2.225754031341977
15.9375,14.53125,4,162.3046875,161.4453125,7.665205001831053,2.0789473684210527,6.657894736842105,2.239317515737348
16.38671875,14.66796875,4,163.0078125,163.0859375,8.150248527526859,2.128205128205128,6.589743589743589,2.249990868562082
18.18359375,12.87109375,4,163.45703125,163.22265625,8.555980682373047,2.175,6.525,2.258179576561617
15.9375,10.625,4,165.25390625,165.01953125,8.927436828613281,2.2195121951219514,6.463414634146342,2.2642239932244252
13.203125,7.890625,4,167.5,167.265625,9.370077133178711,2.261904761904762,6.404761904761905,2.268411693228838
12.2265625,6.9140625,4,170.234375,170.0,9.733892440795898,2.302325581395349,6.348837209302325,2.270987091299294
12.578125,6.5625,4,171.2109375,170.9765625,10.137349128723145,2.340909090909091,6.295454545454546,2.272159019868602
12.79296875,6.54296875,4,171.5625,171.328125,10.541688919067383,2.3777777777777778,6.2444444444444445,2.272106761532667
12.79296875,6.54296875,3,171.77734375,171.34765625,11.051912307739258,2.391304347826087,6.217391304347826,2.254589941298118
12.79296875,6.54296875,3,171.77734375,171.34765625,11.359100341796875,2.404255319148936,6.191489361702128,2.2373835200618326
12.79296875,6.54296875,3,171.77734375,171.34765625,11.677202463150024,2.4166666666666665,6.166666666666667,2.2204854324123726
12.03125,5.15625,3,171.77734375,171.34765625,11.979482412338257,2.4285714285714284,6.142857142857143,2.203892660077359
10.2734375,3.3984375,3,172.5390625,172.734375,12.298466444015503,2.44,6.12,2.187601426220052
